"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"473","Frejgatan 20, Stockholm","1198","Vega Söderhagen","12/1/2019 - 12/31/2019, Every day, Daily Average",1382,1050,1817
"473","Frejgatan 20, Stockholm","1199","Gamla Nynäsvägen","12/1/2019 - 12/31/2019, Every day, Daily Average",1420,1087,1854
"473","Frejgatan 20, Stockholm","1200","Kvarntorp","12/1/2019 - 12/31/2019, Every day, Daily Average",1397,1064,1832
"473","Frejgatan 20, Stockholm","1201","Brotorp","12/1/2019 - 12/31/2019, Every day, Daily Average",585,422,809
"473","Frejgatan 20, Stockholm","1203","Okvista","12/1/2019 - 12/31/2019, Every day, Daily Average",1318,1088,1595
"473","Frejgatan 20, Stockholm","1204","Östra Vallentuna tätort","12/1/2019 - 12/31/2019, Every day, Daily Average",1227,1017,1479
"473","Frejgatan 20, Stockholm","1206","Nya Karolinska","12/1/2019 - 12/31/2019, Every day, Daily Average",360,152,848
"473","Frejgatan 20, Stockholm","1207","Arninge arbetsomr norra","12/1/2019 - 12/31/2019, Every day, Daily Average",870,694,1089
"473","Frejgatan 20, Stockholm","1212","Näsby","12/1/2019 - 12/31/2019, Every day, Daily Average",1841,1522,2226
"473","Frejgatan 20, Stockholm","1213","Arlanda Stad Öst","12/1/2019 - 12/31/2019, Every day, Daily Average",1564,1242,1969
"473","Frejgatan 20, Stockholm","1214","Pilsbo","12/1/2019 - 12/31/2019, Every day, Daily Average",2007,1665,2418
"473","Frejgatan 20, Stockholm","1215","Blåsut","12/1/2019 - 12/31/2019, Every day, Daily Average",1029,701,1508
"473","Frejgatan 20, Stockholm","1216","Norra Rinkeby, Askeby","12/1/2019 - 12/31/2019, Every day, Daily Average",691,507,940
"473","Frejgatan 20, Stockholm","1218","Norra Station 2","12/1/2019 - 12/31/2019, Every day, Daily Average",216,119,390
"473","Frejgatan 20, Stockholm","1219","Värtaverket 2","12/1/2019 - 12/31/2019, Every day, Daily Average",454,306,672
"473","Frejgatan 20, Stockholm","1220","Värtaverket 1","12/1/2019 - 12/31/2019, Every day, Daily Average",290,140,597
"473","Frejgatan 20, Stockholm","1221","Värtahamnen 2","12/1/2019 - 12/31/2019, Every day, Daily Average",311,163,590
"473","Frejgatan 20, Stockholm","1222","Östbergavägen","12/1/2019 - 12/31/2019, Every day, Daily Average",958,650,1410
"473","Frejgatan 20, Stockholm","1223","Norra Tensta,Tensta Allé","12/1/2019 - 12/31/2019, Every day, Daily Average",749,556,1008
"473","Frejgatan 20, Stockholm","1225","Viderögatan","12/1/2019 - 12/31/2019, Every day, Daily Average",564,399,795
"473","Frejgatan 20, Stockholm","1226","Grönlandsgången","12/1/2019 - 12/31/2019, Every day, Daily Average",699,537,908
"473","Frejgatan 20, Stockholm","1227","Solna Kyrkby","12/1/2019 - 12/31/2019, Every day, Daily Average",293,187,457
"473","Frejgatan 20, Stockholm","1232","Rankhus","12/1/2019 - 12/31/2019, Every day, Daily Average",1354,1059,1731
"473","Frejgatan 20, Stockholm","1233","Märsta Måby","12/1/2019 - 12/31/2019, Every day, Daily Average",1628,1338,1979
"473","Frejgatan 20, Stockholm","1235","Arlanda Terminal","12/1/2019 - 12/31/2019, Every day, Daily Average",1793,1452,2213
"473","Frejgatan 20, Stockholm","1236","Arlanda Södra","12/1/2019 - 12/31/2019, Every day, Daily Average",1691,1359,2102
